,ticker,twin,name,exch,cat,country
65391,ERCB.F,,Telefonaktiebolaget LM Ericsson (publ),FRA,Communication Equipment,France
65394,0O87.L,,Telefonaktiebolaget LM Ericsson (publ),LSE,,United Kingdom
65395,ERIC-A.ST,x,Telefonaktiebolaget LM Ericsson (publ),STO,Communication Equipment,Sweden
65401,ERCG.F,,Telefonaktiebolaget LM Ericsson (publ),FRA,Communication Equipment,France
65425,ERICB.SW,,Telefonaktiebolaget LM Ericsson (publ),EBS,,Switzerland
65431,ERICN.MX,,Telefonaktiebolaget LM Ericsson (publ),MEX,Communication Equipment,Mexico
8058,EPIS-B.ST,,Episurf Medical AB,STO,Medical Appliances & Equipment,Sweden
28733,0QUT.L,,Episurf Medical AB,LSE,,United Kingdom
8103,ELAN-B.ST,,Elanders AB (publ),STO,Publishing - Newspapers,Sweden
1742,FGRPF,,Fingerprint Cards AB (publ),PNK,,USA
9180,FING-B.ST,,Fingerprint Cards AB (publ),STO,Electronic Equipment,Sweden
68128,FPQ.F,,Fingerprint Cards AB (publ),,,
9280,BALD-B.ST,,Fastighets AB Balder (publ),STO,Property Management,Sweden
28754,0Q78.L,,Fastighets AB Balder (publ),LSE,,United Kingdom
29136,0H2Z.L,,Fastighets AB Balder (publ),LSE,,United Kingdom
29214,BALD-PREF.ST,,Fastighets AB Balder (publ),STO,,Sweden
9965,TVA-B.TO,,TVA GROUP Inc.,TOR,Broadcasting - TV,Canada
10786,HM-B.ST,,H & M Hennes & Mauritz AB (publ),STO,,Sweden
28134,HMSB.DE,,H & M Hennes & Mauritz AB (publ),GER,Textile - Apparel Clothing,Germany
28136,HMRZF,,H & M Hennes & Mauritz AB (publ),PNK,,USA
28138,HMB.ST,,H & M Hennes & Mauritz AB (publ),STO,,Sweden
28281,0HBP.L,,H & M Hennes & Mauritz AB (publ),LSE,,United Kingdom
29182,HNNMY,,H & M Hennes & Mauritz AB (publ),PNK,,USA
75367,HMB.SW,,H & M Hennes & Mauritz AB (publ),EBS,,Switzerland
75386,HMSB.F,,H & M Hennes & Mauritz AB (publ),FRA,Textile - Apparel Clothing,France
10972,RECY-B.ST,,Recyctec Holding AB (publ),STO,,Sweden
14520,KIRANSY-B.BO,,KIRAN SYNTEX LTD.,BSE,,India
15294,KLIC-B.ST,,Klick Data AB (publ.),STO,,Sweden
15525,TCK,,Teck Resources Limited,NYQ,,USA
15711,TCK-B.TO,x,Teck Resources Limited,TOR,,Canada
15745,TCK-A.TO,x,Teck Resources Limited,TOR,,Canada
20020,TCKRF,,Teck Resources Limited,PNK,,USA
99435,TCKN.MX,,Teck Resources Limited,MEX,,Mexico
100203,TPT.F,,Teck Resources Limited,FRA,,France
106128,TEKB.F,,Teck Resources Limited,FRA,,France
16173,WCM-B.TO,x,Wilmington Capital Management Inc.,TOR,Asset Management,Canada
16210,WCM-A.TO,x,Wilmington Capital Management Inc.,TOR,Asset Management,Canada
16604,CCL-B.TO,x,CCL Industries Inc.,TOR,Packaging & Containers,Canada
53529,CCL-A.TO,x,CCL Industries Inc.,TOR,Packaging & Containers,Canada
53545,CCDBF,,CCL Industries Inc.,PNK,,USA
53661,1C9.F,,CCL Industries Inc.,FRA,,France
16692,NOLA-B.ST,,Nolato AB (publ),STO,Communication Equipment,Sweden
28488,0OA9.L,,Nolato AB (publ),LSE,,United Kingdom
